"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Bolt of Slaying","DMG'24","228","very rare","Ammunition (Bolt)","","","","","1.2 oz.","","This magic ammunition is meant to slay creatures of a particular type, which the DM chooses or determines randomly by rolling on the table below. If a creature of that type takes damage from the ammunition, the creature makes a DC 17 Constitution saving throw, taking an extra 6d10 Force damage on a failed save or half as much extra damage on a successful one.After dealing its extra damage to a creature, the ammunition becomes nonmagical.1d100Creature Type01-10Aberrations11-15Beasts16-20Celestials21-25Constructs26-35Dragons36-45Elementals46-50Humanoids51-60Fey61-70Fiends71-75Giants76-80Monstrosities81-85Oozes86-90Plants91-00UndeadCrossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Breastplate of Acid Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Acid damage while you wear this armor."
"Breastplate of Cold Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Cold damage while you wear this armor."
"Breastplate of Fire Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Fire damage while you wear this armor."
"Breastplate of Force Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Force damage while you wear this armor."
"Breastplate of Lightning Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Lightning damage while you wear this armor."
"Breastplate of Necrotic Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Necrotic damage while you wear this armor."
"Breastplate of Poison Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Poison damage while you wear this armor."
"Breastplate of Psychic Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Psychic damage while you wear this armor."
"Breastplate of Radiant Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Radiant damage while you wear this armor."
"Breastplate of Thunder Resistance","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","You have Resistance to Thunder damage while you wear this armor."
"Breastplate of Vulnerability (Bludgeoning)","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","While wearing this armor, you have Resistance to Bludgeoning damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Piercing and Slashing damage."
"Breastplate of Vulnerability (Piercing)","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","While wearing this armor, you have Resistance to Piercing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Bludgeoning and Slashing damage."
"Breastplate of Vulnerability (Slashing)","DMG'24","231","rare","Medium Armor (Breastplate)","Requires Attunement","AC 14 + Dex (max 2)","","","20 lb.","","While wearing this armor, you have Resistance to Slashing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Bludgeoning and Piercing damage."
"Chain Mail of Acid Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Acid damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Cold Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Cold damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Fire Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Fire damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Force Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Force damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Lightning Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Lightning damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Necrotic Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Necrotic damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Poison Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Poison damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Psychic Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Psychic damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Radiant Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Radiant damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Thunder Resistance","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","You have Resistance to Thunder damage while you wear this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Vulnerability (Bludgeoning)","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","While wearing this armor, you have Resistance to Bludgeoning damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Piercing and Slashing damage.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Vulnerability (Piercing)","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","While wearing this armor, you have Resistance to Piercing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Bludgeoning and Slashing damage.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Mail of Vulnerability (Slashing)","DMG'24","231","rare","Heavy Armor (Chain Mail)","Requires Attunement","AC 16","","","55 lb.","","While wearing this armor, you have Resistance to Slashing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Bludgeoning and Piercing damage.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Shirt of Acid Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Acid damage while you wear this armor."
"Chain Shirt of Cold Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Cold damage while you wear this armor."
"Chain Shirt of Fire Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Fire damage while you wear this armor."
"Chain Shirt of Force Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Force damage while you wear this armor."
"Chain Shirt of Lightning Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Lightning damage while you wear this armor."
"Chain Shirt of Necrotic Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Necrotic damage while you wear this armor."
"Chain Shirt of Poison Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Poison damage while you wear this armor."
"Chain Shirt of Psychic Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Psychic damage while you wear this armor."
"Chain Shirt of Radiant Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Radiant damage while you wear this armor."
"Chain Shirt of Thunder Resistance","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","You have Resistance to Thunder damage while you wear this armor."
"Chain Shirt of Vulnerability (Bludgeoning)","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","While wearing this armor, you have Resistance to Bludgeoning damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Piercing and Slashing damage."
"Chain Shirt of Vulnerability (Piercing)","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","While wearing this armor, you have Resistance to Piercing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Bludgeoning and Slashing damage."
"Chain Shirt of Vulnerability (Slashing)","DMG'24","231","rare","Medium Armor (Chain Shirt)","Requires Attunement","AC 13 + Dex (max 2)","","","20 lb.","","While wearing this armor, you have Resistance to Slashing damage. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to Bludgeoning and Piercing damage."
"Dancing Greatsword","DMG'24","248","very rare","Weapon (Greatsword), Martial Weapon, Melee Weapon","Requires Attunement","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","","You can take a Bonus Action to toss this magic weapon into the air. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of itself. The weapon uses your attack roll and adds your ability modifier to damage rolls.While the weapon hovers, you can take a Bonus Action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same Bonus Action, you can cause the weapon to attack one creature within 5 feet of the weapon.After the hovering weapon attacks for the fourth time, it flies back to you and tries to return to your hand. If you have no hand free, the weapon falls to the ground in your space. If the weapon has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or are more than 30 feet away from it. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Dancing Longsword","DMG'24","248","very rare","Weapon (Longsword), Martial Weapon, Melee Weapon","Requires Attunement","1d8 Slashing","Versatile (1d10)","Mastery: Sap","3 lb.","","You can take a Bonus Action to toss this magic weapon into the air. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of itself. The weapon uses your attack roll and adds your ability modifier to damage rolls.While the weapon hovers, you can take a Bonus Action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same Bonus Action, you can cause the weapon to attack one creature within 5 feet of the weapon.After the hovering weapon attacks for the fourth time, it flies back to you and tries to return to your hand. If you have no hand free, the weapon falls to the ground in your space. If the weapon has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or are more than 30 feet away from it. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Dancing Rapier","DMG'24","248","very rare","Weapon (Rapier), Martial Weapon, Melee Weapon","Requires Attunement","1d8 Piercing","Finesse","Mastery: Vex","2 lb.","","You can take a Bonus Action to toss this magic weapon into the air. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of itself. The weapon uses your attack roll and adds your ability modifier to damage rolls.While the weapon hovers, you can take a Bonus Action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same Bonus Action, you can cause the weapon to attack one creature within 5 feet of the weapon.After the hovering weapon attacks for the fourth time, it flies back to you and tries to return to your hand. If you have no hand free, the weapon falls to the ground in your space. If the weapon has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or are more than 30 feet away from it. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Dancing Scimitar","DMG'24","248","very rare","Weapon (Scimitar), Martial Weapon, Melee Weapon","Requires Attunement","1d6 Slashing","Finesse, Light","Mastery: Nick","3 lb.","","You can take a Bonus Action to toss this magic weapon into the air. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of itself. The weapon uses your attack roll and adds your ability modifier to damage rolls.While the weapon hovers, you can take a Bonus Action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same Bonus Action, you can cause the weapon to attack one creature within 5 feet of the weapon.After the hovering weapon attacks for the fourth time, it flies back to you and tries to return to your hand. If you have no hand free, the weapon falls to the ground in your space. If the weapon has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or are more than 30 feet away from it. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
"Dancing Shortsword","DMG'24","248","very rare","Weapon (Shortsword), Martial Weapon, Melee Weapon","Requires Attunement","1d6 Piercing","Finesse, Light","Mastery: Vex","2 lb.","","You can take a Bonus Action to toss this magic weapon into the air. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of itself. The weapon uses your attack roll and adds your ability modifier to damage rolls.While the weapon hovers, you can take a Bonus Action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same Bonus Action, you can cause the weapon to attack one creature within 5 feet of the weapon.After the hovering weapon attacks for the fourth time, it flies back to you and tries to return to your hand. If you have no hand free, the weapon falls to the ground in your space. If the weapon has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or are more than 30 feet away from it. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Defender Battleaxe","DMG'24","252","legendary","Weapon (Battleaxe), Martial Weapon, Melee Weapon","Requires Attunement","1d8 Slashing","Versatile (1d10)","Mastery: Topple","4 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Defender Club","DMG'24","252","legendary","Weapon (Club), Simple Weapon, Melee Weapon","Requires Attunement","1d4 Bludgeoning","Light","Mastery: Slow","2 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Defender Dagger","DMG'24","252","legendary","Weapon (Dagger), Simple Weapon, Melee Weapon","Requires Attunement","1d4 Piercing","Finesse, Light, Thrown (20/60 ft.)","Mastery: Nick","1 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
"Defender Flail","DMG'24","252","legendary","Weapon (Flail), Martial Weapon, Melee Weapon","Requires Attunement","1d8 Bludgeoning","","Mastery: Sap","2 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Defender Glaive","DMG'24","252","legendary","Weapon (Glaive), Martial Weapon, Melee Weapon","Requires Attunement","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Graze","6 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Defender Greataxe","DMG'24","252","legendary","Weapon (Greataxe), Martial Weapon, Melee Weapon","Requires Attunement","1d12 Slashing","Heavy, Two‑Handed","Mastery: Cleave","7 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Defender Greatclub","DMG'24","252","legendary","Weapon (Greatclub), Simple Weapon, Melee Weapon","Requires Attunement","1d8 Bludgeoning","Two‑Handed","Mastery: Push","10 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Defender Greatsword","DMG'24","252","legendary","Weapon (Greatsword), Martial Weapon, Melee Weapon","Requires Attunement","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Defender Halberd","DMG'24","252","legendary","Weapon (Halberd), Martial Weapon, Melee Weapon","Requires Attunement","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Cleave","6 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Defender Handaxe","DMG'24","252","legendary","Weapon (Handaxe), Simple Weapon, Melee Weapon","Requires Attunement","1d6 Slashing","Light, Thrown (20/60 ft.)","Mastery: Vex","2 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.The first time you attack with the weapon on each of your turns, you can transfer some or all of the weapon's bonus to your Armor Class. For example, you could reduce the bonus to your attack rolls and damage rolls to +1 and gain a +2 bonus to Armor Class. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
