"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Kobold Warrior","MM'25","185","Small","Dragon","neutral","14","7 (3d6 - 3)","30 ft.","7","15","9","8","7","8","","","","","","","Darkvision 60 ft., passive Perception 8","Common, Draconic","1/8 (XP 25; PB +2)","Pack Tactics. The kobold has Advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.
Sunlight Sensitivity. While in sunlight, the kobold has Disadvantage on ability checks and attack rolls.","Dagger. Melee or Ranged Attack Roll: +4, reach 5 ft. or range 20/60 ft. Hit: 4 (1d4 + 2) Piercing damage.","","","","","","","Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp, Underdark, Urban","Armaments"
"Kraken","MM'25","187","Gargantuan","Monstrosity (Titan)","chaotic evil","18","481 (26d20 + 208)","30 ft., Swim 120 ft.","30","11","26","22","18","20","Str +17, Dex +7, Con +15, Wis +11","History +13, Perception +11","","","cold, lightning","frightened, grappled, paralyzed, restrained","Truesight 120 ft., passive Perception 21","Understands Abyssal, Celestial, Infernal, and Primordial but can't speak; telepathy 120 ft.","23 (XP 50,000, or 62,000 in lair; PB +7)","Amphibious. The kraken can breathe air and water.
Legendary Resistance (4/Day, or 5/Day in Lair). If the kraken fails a saving throw, it can choose to succeed instead.
Siege Monster. The kraken deals double damage to objects and structures.","Multiattack. The kraken makes two Tentacle attacks and uses Fling, Lightning Strike, or Swallow.
Tentacle. Melee Attack Roll: +17, reach 30 ft. Hit: 24 (4d6 + 10) Bludgeoning damage. The target has the Grappled condition (escape DC 20) from one of ten tentacles, and it has the Restrained condition until the grapple ends.
Fling. The kraken throws a Large or smaller creature Grappled by it to a space it can see within 60 feet of itself that isn't in the air. Dexterity Saving Throw: DC 25, the creature thrown and each creature in the destination space. Failure: 18 (4d8) Bludgeoning damage, and the target has the Prone condition. Success: Half damage only.
Lightning Strike. Dexterity Saving Throw: DC 23, one creature the kraken can see within 120 feet. Failure: 33 (6d10) Lightning damage. Success: Half damage.
Swallow. Dexterity Saving Throw: DC 25, one creature Grappled by the kraken (it can have up to four creatures swallowed at a time). Failure: 23 (3d8 + 10) Piercing damage. If the target is Large or smaller, it is swallowed and no longer Grappled. A swallowed creature has the Restrained condition, has Total Cover against attacks and other effects outside the kraken, and takes 24 (7d6) Acid damage at the start of each of its turns.If the kraken takes 50 damage or more on a single turn from a creature inside it, the kraken must succeed on a DC 25 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, each of which falls in a space within 10 feet of the kraken with the Prone condition. If the kraken dies, any swallowed creature no longer has the Restrained condition and can escape from the corpse using 15 feet of movement, exiting Prone.","","","Storm Bolt. The kraken uses Lightning Strike.
Toxic Ink. Constitution Saving Throw: DC 23, each creature in a 15-foot Emanation originating from the kraken while it is underwater. Failure: The target has the Blinded and Poisoned conditions until the end of the kraken's next turn. The kraken then moves up to its Speed. Failure or Success: The kraken can't take this action again until the start of its next turn.","","","The region containing a kraken's lair is twisted by its presence, creating the following effects:Ocean Tyrant. The kraken exerts its dominance over animals in its domain. All Beasts within 1 mile of the lair have the Charmed condition while in that area.Sea and Storms. While in its lair, the kraken can cast Control Weather, requiring no spell components and using Intelligence as the spellcasting ability.If the kraken dies or moves its lair elsewhere, these effects end immediately.","Underwater","Any"
"Lamia","MM'25","192","Large","Fiend","chaotic evil","13","97 (13d10 + 26)","40 ft.","16","13","15","14","15","16","","Deception +7, Insight +4, Stealth +5","","","","","Darkvision 60 ft., passive Perception 12","Abyssal, Common","4 (XP 1,100; PB +2)","","Multiattack. The lamia makes two Claw attacks. It can replace one attack with a use of Corrupting Touch.
Claw. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Slashing damage plus 7 (2d6) Psychic damage.
Corrupting Touch. Wisdom Saving Throw: DC 13, one creature the lamia can see within 5 feet. Failure: 13 (3d8) Psychic damage, and the target is cursed for 1 hour. Until the curse ends, the target has the Charmed and Poisoned conditions.
Spellcasting. The lamia casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 13):At will: Disguise Self (can appear as a Large or Medium biped), Minor Illusion1/day each: Geas, Major Image, Scrying","Leap. The lamia jumps up to 30 feet by spending 10 feet of movement.","","","","","","Desert","Arcana"
"Lemure","MM'25","194","Medium","Fiend (Devil)","lawful evil","9","9 (2d8)","20 ft.","10","5","11","1","11","3","","","","cold","fire, poison","charmed, frightened, poisoned","Darkvision 120 ft. (unimpeded by magical Darkness), passive Perception 10","Understands Infernal but can't speak","0 (XP 10; PB +2)","Hellish Restoration. If the lemure dies in the Nine Hells, it revives with all its Hit Points in 1d10 days unless it is killed by a creature under the effects of a Bless spell or its remains are sprinkled with Holy Water.","Vile Slime. Melee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4) Poison damage.","","","","","","","Planar (Nine Hells)",""
"Lich","MM'25","196","Medium","Undead (Wizard)","neutral evil","20","315 (42d8 + 126)","30 ft.","11","16","16","21","14","16","Dex +10, Con +10, Int +12, Wis +9","Arcana +19, History +12, Insight +9, Perception +9","","cold, lightning","necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned","Truesight 120 ft., passive Perception 19","All","21 (XP 33,000, or 41,000 in lair; PB +7)","Legendary Resistance (4/Day, or 5/Day in Lair). If the lich fails a saving throw, it can choose to succeed instead.
Spirit Jar. If destroyed, the lich reforms in 1d10 days if it has a spirit jar, reviving with all its Hit Points. The new body appears in an unoccupied space within the lich's lair.","Multiattack. The lich makes three attacks, using Eldritch Burst or Paralyzing Touch in any combination.
Eldritch Burst. Melee or Ranged Attack Roll: +12, reach 5 ft. or range 120 ft. Hit: 31 (4d12 + 5) Force damage.
Paralyzing Touch. Melee Attack Roll: +12, reach 5 ft. Hit: 15 (3d6 + 5) Cold damage, and the target has the Paralyzed condition until the start of the lich's next turn.
Spellcasting. The lich casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 20):At will: Detect Magic, Detect Thoughts, Dispel Magic, Fireball (level 5 version), Invisibility, Lightning Bolt (level 5 version), Mage Hand, Prestidigitation2/day each: Animate Dead, Dimension Door, Plane Shift1/day each: Chain Lightning, Finger of Death, Power Word Kill, Scrying","","Protective Magic. The lich casts Counterspell or Shield in response to the spell's trigger, using the same spellcasting ability as Spellcasting.","Deathly Teleport. The lich teleports up to 60 feet to an unoccupied space it can see, and each creature within 10 feet of the space it left takes 11 (2d10) Necrotic damage.
Disrupt Life. Constitution Saving Throw: DC 20, each creature that isn't an Undead in a 20-foot Emanation originating from the lich. Failure: 31 (9d6) Necrotic damage. Success: Half damage. Failure or Success: The lich can't take this action again until the start of its next turn.
Frightening Gaze. The lich casts Fear, using the same spellcasting ability as Spellcasting. The lich can't take this action again until the start of its next turn.","","","The region containing a lich's lair is warped by its presence, creating the following effects:All-Seeing. While in its lair, the lich can cast Clairvoyance, requiring no spell components and using the same spellcasting ability as its Spellcasting action.Inevitable Siphon. Whenever a Humanoid dies within 1 mile of the lair, its soul is immediately consumed by the lich. A Humanoid whose soul is consumed in this way can be brought back to life only by a True Resurrection or Wish spell.If the lich is destroyed or moves its lair elsewhere, these effects end immediately. These effects resume if the lich gains a new body (see its Spirit Jar trait).","Any","Arcana"
"Lion","MM'25","364","Large","Beast","unaligned","12","22 (4d10)","50 ft.","17","15","11","3","12","8","","Perception +3, Stealth +4","","","","","Darkvision 60 ft., passive Perception 13","—","1 (XP 200; PB +2)","Pack Tactics. The lion has Advantage on an attack roll against a creature if at least one of the lion's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.
Running Leap. With a 10-foot running start, the lion can Long Jump up to 25 feet.","Multiattack. The lion makes two Rend attacks. It can replace one attack with a use of Roar.
Rend. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Slashing damage.
Roar. Wisdom Saving Throw: DC 11, one creature within 15 feet. Failure: The target has the Frightened condition until the start of the lion's next turn.","","","","","","","Desert, Grassland, Hill, Mountain",""
"Lizard","MM'25","364","Tiny","Beast","unaligned","10","2 (1d4)","20 ft., Climb 20 ft.","2","11","10","1","8","3","","","","","","","Darkvision 30 ft., passive Perception 9","—","0 (XP 10; PB +2)","Spider Climb. The lizard can climb difficult surfaces, including along ceilings, without needing to make an ability check.","Bite. Melee Attack Roll: +2, reach 5 ft. Hit: 1 Piercing damage.","","","","","","","Coastal, Desert, Forest, Swamp, Underdark",""
"Mage","MM'25","199","Small or Medium","Humanoid (Wizard)","neutral","15","81 (18d8)","30 ft.","9","14","11","17","12","11","Int +6, Wis +4","Arcana +6, History +6, Perception +4","","","","","passive Perception 14","Common and any three languages","6 (XP 2,300; PB +3)","","Multiattack. The mage makes three Arcane Burst attacks.
Arcane Burst. Melee or Ranged Attack Roll: +6, reach 5 ft. or range 120 ft. Hit: 16 (3d8 + 3) Force damage.
Spellcasting. The mage casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 14):At will: Detect Magic, Light, Mage Armor (included in AC), Mage Hand, Prestidigitation2/day each: Fireball (level 4 version), Invisibility1/day each: Cone of Cold, Fly","Misty Step (3/Day). The mage casts Misty Step, using the same spellcasting ability as Spellcasting.","Protective Magic (3/Day). The mage casts Counterspell or Shield in response to the spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Any","Individual, Arcana"
"Magma Mephit","MM'25","207","Small","Elemental","neutral evil","11","18 (4d6 + 4)","30 ft., Fly 30 ft.","8","12","12","7","10","10","","Stealth +3","cold","","fire, poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 10","Primordial (Ignan, Terran)","1/2 (XP 100; PB +2)","Death Burst. The mephit explodes when it dies. Dexterity Saving Throw: DC 11, each creature in a 5-foot Emanation originating from the mephit. Failure: 7 (2d6) Fire damage. Success: Half damage.","Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1) Slashing damage plus 3 (1d6) Fire damage.
Fire Breath (Recharge 6). Dexterity Saving Throw: DC 11, each creature in a 15-foot Cone. Failure: 7 (2d6) Fire damage. Success: Half damage.","","","","","","","Planar (Elemental Planes)",""
"Magmin","MM'25","200","Small","Elemental","chaotic neutral","14","13 (3d6 + 3)","30 ft.","7","15","12","8","11","10","","","","","fire","","Darkvision 60 ft., passive Perception 10","Primordial (Ignan)","1/2 (XP 100; PB +2)","Death Burst. The magmin explodes when it dies. Dexterity Saving Throw: DC 11, each creature in a 10-foot Emanation originating from the magmin. Failure: 7 (2d6) Fire damage. Success: Half damage.","Touch. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2) Fire damage. If the target is a creature or a flammable object that isn't being worn or carried, it starts burning.","Ignited Illumination. The magmin sets itself ablaze or extinguishes its flames. While ablaze, the magmin sheds Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.","","","","","","Planar (Elemental Plane of Fire)",""
"Mammoth","MM'25","365","Huge","Beast","unaligned","13","126 (11d12 + 55)","50 ft.","24","9","21","3","11","6","Str +10, Con +8","","","","","","passive Perception 10","—","6 (XP 2,300; PB +3)","","Multiattack. The mammoth makes two Gore attacks.
Gore. Melee Attack Roll: +10, reach 10 ft. Hit: 18 (2d10 + 7) Piercing damage. If the target is a Huge or smaller creature and the mammoth moved 20+ feet straight toward it immediately before the hit, the target has the Prone condition.","Trample. Dexterity Saving Throw: DC 18, one creature within 5 feet that has the Prone condition. Failure: 29 (4d10 + 7) Bludgeoning damage. Success: Half damage.","","","","","","Arctic",""
"Manticore","MM'25","202","Large","Monstrosity","lawful evil","14","68 (8d10 + 24)","30 ft., Fly 50 ft.","17","16","17","7","12","8","","","","","","","Darkvision 60 ft., passive Perception 11","Common","3 (XP 700; PB +2)","","Multiattack. The manticore makes three attacks, using Rend or Tail Spike in any combination.
Rend. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Slashing damage.
Tail Spike. Ranged Attack Roll: +5, range 100/200 ft. Hit: 7 (1d8 + 3) Piercing damage.","","","","","","","Arctic, Coastal, Grassland, Hill, Mountain","Any"
"Marilith","MM'25","204","Large","Fiend (Demon)","chaotic evil","16","220 (21d10 + 105)","40 ft., Climb 40 ft.","18","20","20","18","16","20","Str +9, Con +10, Wis +8, Cha +10","Perception +8","","cold, fire, lightning","poison","poisoned","Truesight 120 ft., passive Perception 18","Abyssal; telepathy 120 ft.","16 (XP 15,000; PB +5)","Demonic Restoration. If the marilith dies outside the Abyss, its body dissolves into ichor, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Abyss.
Magic Resistance. The marilith has Advantage on saving throws against spells and other magical effects.
Reactive. The marilith can take one Reaction on every turn of combat.","Multiattack. The marilith makes six Pact Blade attacks and uses Constrict.
Pact Blade. Melee Attack Roll: +10, reach 5 ft. Hit: 10 (1d10 + 5) Slashing damage plus 7 (2d6) Necrotic damage.
Constrict. Strength Saving Throw: DC 17, one Medium or smaller creature the marilith can see within 5 feet. Failure: 15 (2d10 + 4) Bludgeoning damage. The target has the Grappled condition (escape DC 14), and it has the Restrained condition until the grapple ends.","Teleport (Recharge 5–6). The marilith teleports up to 120 feet to an unoccupied space it can see.","Parry. Trigger: The marilith is hit by a melee attack roll while holding a weapon. Response: The marilith adds 5 to its AC against that attack, possibly causing it to miss.","","","","","Planar (Abyss)","Armaments"
"Mastiff","MM'25","365","Medium","Beast","unaligned","12","5 (1d8 + 1)","40 ft.","13","14","12","3","12","7","","Perception +5","","","","","Darkvision 60 ft., passive Perception 15","—","1/8 (XP 25; PB +2)","","Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1) Piercing damage. If the target is a Medium or smaller creature, it has the Prone condition.","","","","","","","Forest, Hill, Urban",""
"Medusa","MM'25","205","Medium","Monstrosity","lawful evil","15","127 (17d8 + 51)","30 ft.","10","17","16","12","13","15","Wis +4","Deception +5, Perception +4, Stealth +6","","","","","Darkvision 150 ft., passive Perception 14","Common plus one other language","6 (XP 2,300; PB +3)","","Multiattack. The medusa makes two Claw attacks and one Snake Hair attack, or it makes three Poison Ray attacks.
Claw. Melee Attack Roll: +6, reach 5 ft. Hit: 10 (2d6 + 3) Slashing damage.
Snake Hair. Melee Attack Roll: +6, reach 5 ft. Hit: 5 (1d4 + 3) Piercing damage plus 14 (4d6) Poison damage.
Poison Ray. Ranged Attack Roll: +5, range 150 ft. Hit: 11 (2d8 + 2) Poison damage.","Petrifying Gaze (Recharge 5–6). Constitution Saving Throw: DC 13, each creature in a 30-foot Cone. If the medusa sees its reflection in the Cone, the medusa must make this save. First Failure: The target has the Restrained condition and repeats the save at the end of its next turn if it is still Restrained, ending the effect on itself on a success. Second Failure: The target has the Petrified condition instead of the Restrained condition.","","","","","","Desert","Any"
"Merfolk Skirmisher","MM'25","209","Medium","Elemental","neutral","11","11 (2d8 + 2)","10 ft., Swim 40 ft.","10","13","12","11","14","12","","","","","","","passive Perception 12","Common, Primordial (Aquan)","1/8 (XP 25; PB +2)","Amphibious. The merfolk can breathe air and water.","Ocean Spear. Melee or Ranged Attack Roll: +2, reach 5 ft. or range 20/60 ft. Hit: 3 (1d6) Piercing damage plus 2 (1d4) Cold damage. If the target is a creature, its Speed decreases by 10 feet until the end of its next turn. Hit or Miss: The spear magically returns to the merfolk's hand immediately after a ranged attack.","","","","","","","Coastal, Underwater","Individual"
"Merrow","MM'25","210","Large","Monstrosity","chaotic evil","13","45 (6d10 + 12)","10 ft., Swim 40 ft.","18","15","15","8","10","9","","","","","","","Darkvision 60 ft., passive Perception 10","Abyssal, Primordial (Aquan)","2 (XP 450; PB +2)","Amphibious. The merrow can breathe air and water.","Multiattack. The merrow makes two attacks, using Bite, Claw, or Harpoon in any combination.
Bite. Melee Attack Roll: +6, reach 5 ft. Hit: 6 (1d4 + 4) Piercing damage, and the target has the Poisoned condition until the end of the merrow's next turn.
Claw. Melee Attack Roll: +6, reach 5 ft. Hit: 9 (2d4 + 4) Slashing damage.
Harpoon. Melee or Ranged Attack Roll: +6, reach 5 ft. or range 20/60 ft. Hit: 11 (2d6 + 4) Piercing damage. If the target is a Large or smaller creature, the merrow pulls the target up to 15 feet straight toward itself.","","","","","","","Coastal, Underwater","Any"
"Mimic","MM'25","212","Medium","Monstrosity","neutral","12","58 (9d8 + 18)","20 ft.","17","12","15","5","13","8","","Stealth +5","","","acid","prone","Darkvision 60 ft., passive Perception 11","—","2 (XP 450; PB +2)","Adhesive (Object Form Only). The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic has the Grappled condition (escape DC 13). Ability checks made to escape this grapple have Disadvantage.","Bite. Melee Attack Roll: +5 (with Advantage if the target is Grappled by the mimic), reach 5 ft. Hit: 7 (1d8 + 3) Piercing damage—or 12 (2d8 + 3) Piercing damage if the target is Grappled by the mimic—plus 4 (1d8) Acid damage.
Pseudopod. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 4 (1d8) Acid damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 13). Ability checks made to escape this grapple have Disadvantage.","Shape-Shift. The mimic shape-shifts to resemble a Medium or Small object while retaining its game statistics, or it returns to its true blob form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Underdark, Urban","Any"
"Minotaur Skeleton","MM'25","283","Large","Undead","lawful evil","12","45 (6d10 + 12)","40 ft.","18","11","15","6","8","5","","","bludgeoning","","poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 9","Understands Abyssal but can't speak","2 (XP 450; PB +2)","","Gore. Melee Attack Roll: +6, reach 5 ft. Hit: 11 (2d6 + 4) Piercing damage. If the target is a Large or smaller creature and the skeleton moved 20+ feet straight toward it immediately before the hit, the target takes an extra 9 (2d8) Piercing damage and has the Prone condition.
Slam. Melee Attack Roll: +6, reach 5 ft. Hit: 15 (2d10 + 4) Bludgeoning damage.","","","","","","","Planar (Shadowfell), Underdark, Urban",""
"Minotaur of Baphomet","MM'25","215","Large","Monstrosity","chaotic evil","14","85 (10d10 + 30)","40 ft.","18","11","16","6","16","9","","Perception +7, Survival +7","","","","","Darkvision 60 ft., passive Perception 17","Abyssal","3 (XP 700; PB +2)","","Abyssal Glaive. Melee Attack Roll: +6, reach 10 ft. Hit: 10 (1d12 + 4) Slashing damage plus 10 (3d6) Necrotic damage.
Gore (Recharge 5–6). Melee Attack Roll: +6, reach 5 ft. Hit: 18 (4d6 + 4) Piercing damage. If the target is a Large or smaller creature and the minotaur moved 10+ feet straight toward it immediately before the hit, the target takes an extra 10 (3d6) Piercing damage and has the Prone condition.","","","","","","","Underdark","Armaments"
"Mule","MM'25","365","Medium","Beast","unaligned","10","11 (2d8 + 2)","40 ft.","14","10","13","2","10","5","Str +4","","","","","","passive Perception 10","—","1/8 (XP 25; PB +2)","Beast of Burden. The mule counts as one size larger for the purpose of determining its carrying capacity.","Hooves. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Bludgeoning damage.","","","","","","","Desert, Hill, Urban",""
"Mummy","MM'25","219","Small or Medium","Undead","lawful evil","11","58 (9d8 + 18)","20 ft.","16","8","15","6","12","12","Wis +3","","fire","","necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned","Darkvision 60 ft., passive Perception 11","Common plus two other languages","3 (XP 700; PB +2)","","Multiattack. The mummy makes two Rotting Fist attacks and uses Dreadful Glare.
Rotting Fist. Melee Attack Roll: +5, reach 5 ft. Hit: 8 (1d10 + 3) Bludgeoning damage plus 10 (3d6) Necrotic damage. If the target is a creature, it is cursed. While cursed, the target can't regain Hit Points, its Hit Point maximum doesn't return to normal when finishing a Long Rest, and its Hit Point maximum decreases by 10 (3d6) every 24 hours that elapse. A creature dies and turns to dust if reduced to 0 Hit Points by this attack.
Dreadful Glare. Wisdom Saving Throw: DC 11, one creature the mummy can see within 60 feet. Failure: The target has the Frightened condition until the end of the mummy's next turn. Success: The target is immune to this mummy's Dreadful Glare for 24 hours.","","","","","","","Desert, Swamp","Relics"
"Mummy Lord","MM'25","221","Small or Medium","Undead (Cleric)","lawful evil","17","187 (25d8 + 75)","30 ft.","18","10","17","11","19","16","Int +5, Wis +9","History +5, Perception +9, Religion +5","fire","","necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned","Truesight 60 ft., passive Perception 19","Common plus three other languages","15 (XP 13,000, or 15,000 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the mummy fails a saving throw, it can choose to succeed instead.
Magic Resistance. The mummy has Advantage on saving throws against spells and other magical effects.
Undead Restoration. If destroyed, the mummy gains a new body in 24 hours if its heart is intact, reviving with all its Hit Points. The new body appears in an unoccupied space within the mummy's lair. The heart is a Tiny object that has AC 17, HP 10, and Immunity to all damage except Fire.","Multiattack. The mummy makes one Rotting Fist or Channel Negative Energy attack, and it uses Dreadful Glare.
Rotting Fist. Melee Attack Roll: +9, reach 5 ft. Hit: 15 (2d10 + 4) Bludgeoning damage plus 10 (3d6) Necrotic damage. If the target is a creature, it is cursed. While cursed, the target can't regain Hit Points, it gains no benefit from finishing a Long Rest, and its Hit Point maximum decreases by 10 (3d6) every 24 hours that elapse. A creature dies and turns to dust if reduced to 0 Hit Points by this attack.
Channel Negative Energy. Ranged Attack Roll: +9, range 60 ft. Hit: 25 (6d6 + 4) Necrotic damage.
Dreadful Glare. Wisdom Saving Throw: DC 17, one creature the mummy can see within 60 feet. Failure: 25 (6d6 + 4) Psychic damage, and the target has the Paralyzed condition until the end of the mummy's next turn.
Spellcasting. The mummy casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 17, +9 to hit with spell attacks):At will: Dispel Magic, Thaumaturgy1/day each: Animate Dead, Harm, Insect Plague (level 7 version)","","Whirlwind of Sand. Trigger: The mummy is hit by an attack roll. Response: The mummy adds 2 to its AC against the attack, possibly causing the attack to miss, and the mummy teleports up to 60 feet to an unoccupied space it can see. Each creature of its choice that it can see within 5 feet of its destination space has the Blinded condition until the end of the mummy's next turn.","Dread Command. The mummy casts Command (level 2 version), using the same spellcasting ability as Spellcasting. The mummy can't take this action again until the start of its next turn.
Glare. The mummy uses Dreadful Glare. The mummy can't take this action again until the start of its next turn.
Necrotic Strike. The mummy makes one Rotting Fist or Channel Negative Energy attack.","","","The region containing a mummy lord's lair is warped by its presence, creating the following effects:Cursed Fate. Whenever a creature other than the mummy or one of its allies casts a Divination spell while within 1 mile of the lair, the creature makes a DC 15 Constitution saving throw. On a failed save, the spell dissipates with no effect, and the action, Bonus Action, or Reaction used to cast the spell is wasted, but any resources used to cast it aren't expended.Soul Drain. Creatures within 1 mile of the lair have Disadvantage on Death Saving Throws.If the mummy lord is destroyed or moves its lair elsewhere, these effects end immediately. The effects resume if the mummy lord gains a new body (see its Undead Restoration trait).","Desert, Swamp","Relics"
"Nalfeshnee","MM'25","224","Large","Fiend (Demon)","chaotic evil","18","184 (16d10 + 96)","20 ft., Fly 30 ft.","21","10","22","19","12","15","Con +11, Int +9, Wis +6, Cha +7","","","cold, fire, lightning","poison","frightened, poisoned","Truesight 120 ft., passive Perception 11","Abyssal; telepathy 120 ft.","13 (XP 10,000; PB +5)","Demonic Restoration. If the nalfeshnee dies outside the Abyss, its body dissolves into ichor, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Abyss.
Magic Resistance. The nalfeshnee has Advantage on saving throws against spells and other magical effects.","Multiattack. The nalfeshnee makes three Rend attacks.
Rend. Melee Attack Roll: +10, reach 10 ft. Hit: 16 (2d10 + 5) Slashing damage plus 11 (2d10) Force damage.
Teleport. The nalfeshnee teleports up to 120 feet to an unoccupied space it can see.","Horror Nimbus (Recharge 5–6). Wisdom Saving Throw: DC 15, each creature in a 15-foot Emanation originating from the nalfeshnee. Failure: 28 (8d6) Psychic damage, and the target has the Frightened condition for 1 minute, until it takes damage, or until it ends its turn with the nalfeshnee out of line of sight. Success: The target is immune to this nalfeshnee's Horror Nimbus for 24 hours.","Pursuit. Trigger: Another creature the nalfeshnee can see ends its move within 120 feet of the nalfeshnee. Response: The nalfeshnee uses Teleport, but its destination space must be within 10 feet of the triggering creature.","","","","","Planar (Abyss)","Relics"
"Night Hag","MM'25","225","Medium","Fiend","neutral evil","17","112 (15d8 + 45)","30 ft.","18","15","16","16","14","16","","Deception +6, Insight +5, Perception +5, Stealth +5","","cold, fire","","charmed","Darkvision 120 ft., passive Perception 15","Abyssal, Common, Infernal, Primordial","5 (XP 1,800; PB +3)","Coven Magic. While within 30 feet of at least two hag allies, the hag can cast one of the following spells, requiring no Material components, using the spell's normal casting time, and using Intelligence as the spellcasting ability (spell save DC 14): Augury, Find Familiar, Identify, Locate Object, Scrying, or Unseen Servant. The hag must finish a Long Rest before using this trait to cast that spell again.
Magic Resistance. The hag has Advantage on saving throws against spells and other magical effects.
Soul Bag. The hag has a soul bag. While holding or carrying the bag, the hag can use its Nightmare Haunting action.The bag has AC 15, HP 20, and Resistance to all damage. The bag turns to dust if reduced to 0 Hit Points. If the bag is destroyed, any souls the bag is holding are released. The hag can create a new bag after 7 days.","Multiattack. The hag makes two Claw attacks.
Claw. Melee Attack Roll: +7, reach 5 ft. Hit: 13 (2d8 + 4) Slashing damage.
Nightmare Haunting (1/Day; Requires Soul Bag). While on the Ethereal Plane, the hag casts Dream, using the same spellcasting ability as Spellcasting. Only the hag can serve as the spell's messenger, and the target must be a creature the hag can see on the Material Plane. The spell fails and is wasted if the target is under the effect of the Protection from Evil and Good spell or within a Magic Circle spell.If the target takes damage from the Dream spell, the target's Hit Point maximum decreases by an amount equal to that damage. If the spell kills the target, its soul is trapped in the hag's soul bag, and the target can't be raised from the dead until its soul is released.
Spellcasting. The hag casts one of the following spells, requiring no Material components and using Intelligence as the spellcasting ability (spell save DC 14):At will: Detect Magic, Etherealness, Magic Missile (level 4 version)2/day each: Phantasmal Killer, Plane Shift (self only)","Shape-Shift. The hag shape-shifts into a Small or Medium Humanoid, or it returns to its true form. Other than its size, its game statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Planar (Lower Planes)","Arcana"
"Nightmare","MM'25","226","Large","Fiend","neutral evil","13","68 (8d10 + 24)","60 ft., Fly 90 ft. (hover)","18","15","16","10","13","15","","","","","fire","","passive Perception 11","Understands Abyssal, Common, and Infernal but can't speak","3 (XP 700; PB +2)","Confer Fire Resistance. The nightmare can grant Resistance to Fire damage to a rider while it is on the nightmare.
Illumination. The nightmare sheds Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.","Hooves. Melee Attack Roll: +6, reach 5 ft. Hit: 13 (2d8 + 4) Bludgeoning damage plus 10 (3d6) Fire damage.
Ethereal Stride. The nightmare and up to three willing creatures within 5 feet of it teleport to the Ethereal Plane from the Material Plane or vice versa.","","","","","","","Planar (Lower Planes)",""
"Noble","MM'25","227","Small or Medium","Humanoid","neutral","15","9 (2d8)","30 ft.","11","12","11","12","14","16","","Deception +5, Insight +4, Persuasion +5","","","","","passive Perception 12","Common plus two other languages","1/8 (XP 25; PB +2)","","Rapier. Melee Attack Roll: +3, reach 5 ft. Hit: 5 (1d8 + 1) Piercing damage.","","Parry. Trigger: The noble is hit by a melee attack roll while holding a weapon. Response: The noble adds 2 to its AC against that attack, possibly causing it to miss.","","","","","Any","Individual"
